tir,vpn,vpn_ajuste
0.167469732,276648803.6,276.6488036
0.194054574,272746388.2,272.7463882
0.303663383,274627990.1,274.6279901
0.247211769,275604462.3,275.6044623
0.204975953,277323487.5,277.3234875
0.255785051,272751992.5,272.7519925
0.12612467,273411675.4,273.4116754
0.160319645,272826935.1,272.8269351
0.192043029,275316990.7,275.3169907
0.307225307,272847620.2,272.8476202
0.244802477,276799802,276.799802
0.393096358,275477123.3,275.4771233
0.300311341,275260032,275.260032
0.254708371,272240274.7,272.2402747
0.298265671,267006736.9,267.0067369
0.293882547,275109942.3,275.1099423
0.021080373,273728221.8,273.7282218
0.199321666,272873990.3,272.8739903
0.17973607,273464681.6,273.4646816
0.287260194,278358472.9,278.3584729
0.273748014,277342778.8,277.3427788
0.374558,278632750,278.63275
0.359638644,273835026,273.835026
0.394353668,277535438.3,277.5354383
0.272848495,271644571.1,271.6445711
0.445339585,272025930.6,272.0259306
0.227121851,269277669.2,269.2776692
0.259435645,272436523.8,272.4365238
0.311905602,272298863.6,272.2988636
0.311928237,276444924.5,276.4449245
0.101022769,278907376.2,278.9073762
0.197299751,272602620.2,272.6026202
0.027444563,275980704.4,275.9807044
0.226839211,270501375,270.501375
0.172689663,273891791.3,273.8917913
0.426702485,278725985.8,278.7259858
0.370935642,271409133.4,271.4091334
0.365321693,279412205.5,279.4122055
0.239370157,271773141,271.773141
0.36608687,276093099.5,276.0930995
0.410731436,269612843.4,269.6128434
0.256763132,274616504.8,274.6165048
0.42668843,273088307.6,273.0883076
0.249467749,272156424.4,272.1564244
0.272114266,279097287.4,279.0972874
0.271955692,276387598.8,276.3875988
0.475924431,270540263.9,270.5402639
0.249819602,275411737.1,275.4117371
0.347205263,272701854.5,272.7018545
0.372553501,273277578.3,273.2775783
0.207036404,277412383.5,277.4123835
0.257877146,279176467.4,279.1764674
0.266437031,268229094.3,268.2290943
0.211118207,274272867.6,274.2728676
0.258340558,272603711.7,272.6037117
0.34891597,275092954.2,275.0929542
0.364173787,272782691.5,272.7826915
0.353600644,270383264.8,270.3832648
0.216561461,275840358.1,275.8403581
0.1186561,274678124.3,274.6781243
0.330522362,279279701.7,279.2797017
0.383659803,274741982.1,274.7419821
0.297622909,272676764.4,272.6767644
0.194569983,278133920.6,278.1339206
0.364335906,270829753,270.829753
0.131964807,271957308.2,271.9573082
0.316610367,270299321.2,270.2993212
0.302651994,272508778.8,272.5087788
0.369118026,274133593.4,274.1335934
0.375897926,276805266.7,276.8052667
0.267827438,274918062.4,274.9180624
0.197192848,274090203.9,274.0902039
0.350385047,274374652.2,274.3746522
0.130349619,274003527,274.003527
0.343029219,271399195.8,271.3991958
0.286150353,275772890.8,275.7728908
0.001281643,275717182.8,275.7171828
0.256016615,277860031.3,277.8600313
0.398452239,274743014.5,274.7430145
0.424595355,273959786.4,273.9597864
0.350789364,270423644.5,270.4236445
0.303909138,272120501.5,272.1205015
0.296172763,269141107.2,269.1411072
0.234813616,278576544.8,278.5765448
0.352554937,272508127.1,272.5081271
0.271254985,273295011.5,273.2950115
0.081712462,277652323.3,277.6523233
0.328954389,272103676.7,272.1036767
0.320075019,273184797.7,273.1847977
0.410292941,271574128.9,271.5741289
0.08509886,273126014.2,273.1260142
0.485364807,271471433.9,271.4714339
0.081042892,269764738.8,269.7647388
0.223219042,277133250.1,277.1332501
0.383777862,277962483,277.962483
0.178560168,278065545.2,278.0655452
0.25983116,278738724.3,278.7387243
0.247361075,275966980,275.96698
0.185468825,272850038.6,272.8500386
0.41842545,279925568.8,279.9255688
0.23643545,267859351.5,267.8593515
0.20744952,272978079.2,272.9780792
0.299593976,276393305.3,276.3933053
0.33104223,275888812.7,275.8888127
0.24448912,276636531.1,276.6365311
0.270376106,278492435.5,278.4924355
0.338027057,275759632.9,275.7596329
0.321834045,276980172.5,276.9801725
0.333530018,276952107.9,276.9521079
0.401843474,274173342.6,274.1733426
0.394626322,276143951.8,276.1439518
0.426433181,274364801.5,274.3648015
0.274174358,274605199.2,274.6051992
0.292362127,273308265.2,273.3082652
0.194751244,271276352.6,271.2763526
0.356704294,276119671.4,276.1196714
0.211815134,275525246,275.525246
0.121195154,273717620.6,273.7176206
0.373908545,276779848.1,276.7798481
0.219407962,276710074.2,276.7100742
0.214026324,275684560.6,275.6845606
0.169448076,273078306.5,273.0783065
0.359073222,276347945,276.347945
0.335686748,272382456.2,272.3824562
0.386202859,275986307.3,275.9863073
0.262532968,277365311,277.365311
0.32023231,271865158.3,271.8651583
0.256364669,273130446.8,273.1304468
0.178362332,268802791.2,268.8027912
0.439400488,273229269.9,273.2292699
0.324074081,276231168.4,276.2311684
0.309376693,276183748,276.183748
0.2592007,278139900.4,278.1399004
0.362354788,270305801,270.305801
0.325316607,275912365.6,275.9123656
0.316805536,273587815.3,273.5878153
0.241332286,273258562.7,273.2585627
0.424446677,274669896.1,274.6698961
0.307360562,277209411.2,277.2094112
0.434989704,269251574.9,269.2515749
0.310584572,278709015.2,278.7090152
0.275791535,279553741.4,279.5537414
0.3065377,271582799.5,271.5827995
0.363172479,272221514.1,272.2215141
0.385100973,275548204,275.548204
0.199380336,273687356.3,273.6873563
0.336282069,275748261.3,275.7482613
0.330765127,272506426.3,272.5064263
0.180403201,278013270.1,278.0132701
0.266927053,270825690,270.82569
0.348907666,269633264.1,269.6332641
0.10533737,274023320.2,274.0233202
0.177579826,271495961.6,271.4959616
0.516827945,275759212.2,275.7592122
0.352424139,277693576.1,277.6935761
0.183794156,278724911.9,278.7249119
0.343321912,269687580,269.68758
